50 3
0 1 1000
2 3 1000
4 5 1000
6 7 1000
8 9 1000
10 11 1000
12 13 1000
14 15 1000
16 17 1000
18 19 1000
20 21 1000
22 23 1000
24 25 1000
26 27 1000
28 29 1000
30 31 1000
32 33 1000
34 35 1000
36 37 1000
38 39 1000
40 41 1000
42 43 1000
44 45 1000
46 47 1000
48 49 1000
50 51 1000
52 53 1000
54 55 1000
56 57 1000
58 59 1000
60 61 1000
62 63 1000
64 65 1000
66 67 1000
68 69 1000
70 71 1000
72 73 1000
74 75 1000
76 77 1000
78 79 1000
80 81 1000
82 83 1000
84 85 1000
86 87 1000
88 89 1000
90 91 1000
92 93 1000
94 95 1000
96 97 1000
98 99 1000




